"﻿""Key""","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"6KWTHJJZ","conferencePaper","2025","An, Y.; Liu, Z.; Liang, Y.; Wang, X.; Shi, Z.; Liu, H.; Cui, Y.; Long, S.","Research on Transient Stability Assessment Method for Power Systems Considering the Introduction of Topology Knowledge","Proc. - Asia Conf. Power Electr. Eng., ACPEE","9798331504076 (ISBN)","","10.1109/ACPEE64358.2025.11040880","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010614136&doi=10.1109%2FACPEE64358.2025.11040880&partnerID=40&md5=1e274e43a7b54f2a5f3b63b6e0b74d25","2025","2026-03-20 01:23:07","2026-03-20 01:23:07","","2189-2194","","","","","","","","","","","Institute of Electrical and Electronics Engineers Inc.","","English","","","Scopus","","","","","#done; #faults-reliability","","Lie, T.-T.; Shen, C.; Li, G.; Liu, Y.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I637RFZU","preprint","2025","Anand, Harsh; Khayambashi, Kamiar; Zandsalimi, Zanko; Taghizadeh, Mehdi; Hasnat, Md Abul; Alemazkoor, Negin","Applications of Graph Neural Networks in Civil Infrastructures: A Review on Transportation, Power, Water, and Structural Systems","","","","10.2139/ssrn.5385353","https://papers.ssrn.com/abstract=5385353","2025-06-15","2026-03-20 01:23:07","2026-03-20 01:23:07","2026-03-19 20:47:37","","","","","","","Applications of Graph Neural Networks in Civil Infrastructures","","","","","Social Science Research Network","Rochester, NY","en","","SSRN Scholarly Paper","","","papers.ssrn.com","","","#done; #survey","","","","","","","","","","","","","","","","","","","","5385353","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N33S2W6C","conferencePaper","2025","Anitha, C.; Naveena Kumar, R.R.; Deokar, S.U.; Shah, H.; Nandankar, P.V.; Natrayan, L.","Optimal Scheduling of Microgrid with Electric Vehicle Integration in Smart Grid using Progressive Graph Convolutional Network","Proc. Int. Conf. Trends Mater. Sci. Inventive Mater., ICTMIM","9798331501488 (ISBN)","","10.1109/ICTMIM65579.2025.10988142","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007999028&doi=10.1109%2FICTMIM65579.2025.10988142&partnerID=40&md5=4107e1d92be22cdf810059f3f58da263","2025","2026-03-20 01:23:07","2026-03-20 01:23:07","","375-380","","","","","","","","","","","Institute of Electrical and Electronics Engineers Inc.","","English","","","Scopus","","","","","#done; #optimization-control","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JMW2QRJ5","journalArticle","2025","Aquino, L.S.; Seman, L.O.; Cocco Mariani, V.C.; Coelho, L.D.S.; Stefenon, S.F.; Villarrubia-González, G.V.","Spatiotemporal Wind Energy Forecasting: A Comprehensive Survey and a Deep Equilibrium-Based Case Study With StemGNN","IEEE Access","","21693536 (ISSN)","10.1109/ACCESS.2025.3586997","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011725957&doi=10.1109%2FACCESS.2025.3586997&partnerID=40&md5=3d3340bbb441033dd9b6a57891f346e8","2025","2026-03-20 01:23:07","2026-03-20 01:23:07","","131461-131482","","","13","","IEEE Access","","","","","","Institute of Electrical and Electronics Engineers Inc.","","English","","","Scopus","","","","","#done; #forecasting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DTGGZRFU","preprint","2025","Arowolo, Olayiwola; Cremer, Jochen L.","Towards Generalization of Graph Neural Networks for AC Optimal Power Flow","","","","10.48550/arXiv.2510.06860","http://arxiv.org/abs/2510.06860","2025-10-08","2026-03-20 01:23:07","2026-03-20 01:23:07","2026-03-19 19:54:19","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","","#done; #optimization-control","","","","","","","","","","","","","","","","","","","","arXiv:2510.06860","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q6X4XVF2","journalArticle","2024","Authier, J.; Haider, R.; Annaswamy, A.; Dörfler, F.","Physics-informed Graph Neural Network for Dynamic Reconfiguration of power systems","Electric Power Systems Research","","","10.1016/j.epsr.2024.110817","","2024","2026-03-20 01:23:07","2026-03-20 01:23:07","","","","","235","","","","","","","","","","","","","Scopus","","Scopus","","","#done; #optimization-control","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6HL7H7Z6","journalArticle","2025","Ayaz, M.; Ali, T.; Hijji, M.; Baig, I.; Alhmiedat, T.; Aggoune, E.-H.M.","Predictive modeling of complex networks using deep learning and fractional dynamics","AIMS Mathematics","","24736988 (ISSN)","10.3934/math.20251175","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022111848&doi=10.3934%2Fmath.20251175&partnerID=40&md5=8f01ee108fcc4725521a84a9138866bf","2025","2026-03-20 01:23:07","2026-03-20 01:23:07","2026-03-20 00:38:36","26717-26743","","11","10","","AIMS Math.","","","","","","American Institute of Mathematical Sciences","","English","","","Scopus","","Google Scholar","","","#done; #forecasting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26RVXI8D","journalArticle","2025","Azad, S.; Ameli, M.T.","An imbalanced deep learning framework for pre-fault flexible multi-zone dynamic security assessment via transfer learning based graph convolutional network","Results in Engineering","","25901230 (ISSN)","10.1016/j.rineng.2025.104172","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216501350&doi=10.1016%2Fj.rineng.2025.104172&partnerID=40&md5=c52080ac26b05cb6aaccdf9396327f79","2025","2026-03-20 01:23:07","2026-03-20 01:23:07","","","","","25","","Result. Eng.","","","","","","Elsevier B.V.","","English","","","Scopus","","","","","#done; #faults-reliability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V2HYVQKH","journalArticle","2025","Azad, S.; Ameli, M.T.; Anvari-Moghaddam, A.; Shafie-Khah, M.","A transfer learning-based graph convolutional network for dynamic security assessment considering loss of synchronism of wind turbines and unknown faults","e-Prime - Advances in Electrical Engineering, Electronics and Energy","","27726711 (ISSN)","10.1016/j.prime.2025.101012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005308000&doi=10.1016%2Fj.prime.2025.101012&partnerID=40&md5=0a7b26c37b06f08dd518fd2af37db4f2","2025","2026-03-20 01:23:07","2026-03-20 01:23:07","","","","","12","","e-Prime - Adv. Elec. Eng. Elec. Energy","","","","","","Elsevier Ltd","","English","","","Scopus","","","","","#done; #faults-reliability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GXS6R7FQ","conferencePaper","2024","Azam, F.; Hermans, C.; Becker, T.; D'Hulst, R.; Vanthournout, K.; Deconinck, G.","Accelerating Power Flow Calculations in LV Networks Using Physics-Informed Graph Neural Networks","","","","10.1109/ISGTEUROPE62998.2024.10863313","","2024","2026-03-20 01:23:07","2026-03-20 01:23:07","","","","","","","","","","","","","","","","","","Scopus","","Scopus","","","#done; #grid-analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IEEE PES Innovative Smart Grid Technologies Europe, ISGT EUROPE 2024","","","","","","","","","","","","","","",""
"9ITAWLZW","conferencePaper","2024","Bai, S.","Anomaly Detection of Electrical Load in Power Systems Based on Graph Neural Networks","ACM Int. Conf. Proc. Ser.","979-840071813-7 (ISBN)","","10.1145/3689236.3689283","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215517490&doi=10.1145%2F3689236.3689283&partnerID=40&md5=720ba98086d1a6142dd4fcffdfe1931a","2024","2026-03-20 01:23:07","2026-03-20 01:23:07","2026-03-19","529-534","","","","","","","ICCSIE '24","","","","Association for Computing Machinery","New York, NY, USA","English","","","Scopus","","ACM Digital Library","","","#done; #faults-reliability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACM International Conference Proceeding Series","","","","","","","","","","","","","","",""
"86QL2HUC","conferencePaper","2025","Bai, W.; Zhang, L.; Wang, D.; Liu, Y.","GNDPL：graph-neural and deep representation learning-based vulnerability detection in power systems","Proc SPIE Int Soc Opt Eng","0277786X (ISSN); 1996756X (ISSN); 9781510692657 (ISBN); 9781510690561 (ISBN); 9781510693302 (ISBN); 9781510692251 (ISBN); 9781510692275 (ISBN); 9781510693081 (ISBN); 9781510688728 (ISBN); 9781510688629 (ISBN); 9781510692671 (ISBN); 9781510693326 (ISBN)","","10.1117/12.3057002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007816220&doi=10.1117%2F12.3057002&partnerID=40&md5=796df989873e25227e0bd6f372e9c923","2025","2026-03-20 01:23:07","2026-03-20 01:23:07","","","","","13637","","","","","","","","SPIE","","English","","","Scopus","","","","","#done; #faults-reliability","","Qin, C.; Cheng, Q.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Proceedings of SPIE - The International Society for Optical Engineering","","","","","","","","","","","","","","",""
"59YWUVCG","conferencePaper","2024","Baker, M.; Shadmand, M.B.","Real-time AI-based Line-Line Fault Detection and Localization in Power Electronics Dominated Grids","","","","10.1109/IECON55916.2024.10905288","","2024","2026-03-20 01:23:07","2026-03-20 01:23:07","","","","","","","","","","","","","","","","","","Scopus","","Scopus","","","#done; #faults-reliability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IECON Proceedings (Industrial Electronics Conference)","","","","","","","","","","","","","","",""
"W9HKTQZD","journalArticle","2025","Basheer, L.; Ranjana, P.","A deep learning framework for intrusion detection system in smart grids using graph convolutional network","Engineering Research Express","","26318695 (ISSN)","10.1088/2631-8695/adb3f4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001976195&doi=10.1088%2F2631-8695%2Fadb3f4&partnerID=40&md5=343de7f8b8f678e6d18778668e9b1576","2025","2026-03-20 01:23:07","2026-03-20 01:23:07","","","","","7","","Eng. Res. Exp.","","","","","","Institute of Physics","","English","","","Scopus","","","","","#cybersecurity; #done","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q49BCH2K","book","2024","Behdadnia, T.; Thoelen, K.; Zobiri, F.; Deconinck, G.","Spatial-Temporal Graph Neural Network for Detecting and Localizing Anomalies in PMU Networks","","18650929 (ISSN); 9783031567759 (ISBN)","","10.1007/978-3-031-56776-6_7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189635217&doi=10.1007%2f978-3-031-56776-6_7&partnerID=40&md5=49ea26305d53832b3b77e1e7792ac04b","2024","2026-03-20 01:23:07","2026-03-20 01:23:07","2024-04-08","","75","","2078 CCIS","","","","1st Workshop on Safe Autonomous Systems, SafeAutonomy 2024, and 1st Workshop on the Role of TRUST in the implementation of Digital Technologies: Blockchain Technology and Artificial Intelligence in Smart Cities, TRUST IN BLOCKCHAIN 2024 held at 19th European Dependable Computing Conference, EDCC 2024","","","","Springer Science and Business Media Deutschland GmbH","","English","","","Scopus","","","","","#done; #faults-reliability","","","Sangchoolie B.; Adler R.; Hawkins R.; Schleiss P.; Arteconi A.; Arteconi A.; Arteconi A.; Mancini A.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5W539CAH","journalArticle","2025","Bento, M.E.C.","A Load Margin Calculation Method Using a Physics-Informed Neural Network","Applied Sciences (Switzerland)","","20763417 (ISSN)","10.3390/app152312396","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024748619&doi=10.3390%2Fapp152312396&partnerID=40&md5=31742cc74a0fbedf1c5b55e141679420","2025","2026-03-20 01:23:07","2026-03-20 01:23:07","","","","23","15","","Appl. Sci.","","","","","","Multidisciplinary Digital Publishing Institute (MDPI)","","English","","","Scopus","","","","","#done; #faults-reliability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FX4RVHQN","journalArticle","2022","Bentsen, Lars Ødegaard; Warakagoda, Narada Dilp; Stenbro, Roy; Engelstad, Paal","Wind Park Power Prediction: Attention-Based Graph Networks and Deep Learning to Capture Wake Losses","Journal of Physics: Conference Series","","1742-6596","10.1088/1742-6596/2265/2/022035","https://dx.doi.org/10.1088/1742-6596/2265/2/022035","2022-05","2026-03-20 01:23:07","2026-03-20 01:23:07","2024-05-16 10:11:31","022035","","2","2265","","J. Phys.: Conf. Ser.","Wind Park Power Prediction","","","","","IOP Publishing","","en","","","","","Institute of Physics","","","#done; #forecasting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FRIDTQJL","journalArticle","2025","Bernier, F.; Cao, J.; Cordy, M.; Ghamizi, S.","PowerGraph-LLM: Novel Power Grid Graph Embedding and Optimization With Large Language Models","IEEE Transactions on Power Systems","","08858950 (ISSN)","10.1109/TPWRS.2025.3596774","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013238217&doi=10.1109%2FTPWRS.2025.3596774&partnerID=40&md5=44e8df1952860b8846d043add1d37a82","2025","2026-03-20 01:23:07","2026-03-20 01:23:07","2026-03-19 19:59:34","5483-5486","","6","40","","IEEE Trans Power Syst","PowerGraph-LLM","","","","","Institute of Electrical and Electronics Engineers Inc.","","English","","","Scopus","","arXiv.org","","","#done; #optimization-control","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YN7UYQKT","conferencePaper","2024","Bhaila, K.; Wu, X.","Cascading Failure Prediction in Power Grid Using Node and Edge Attributed Graph Neural Networks","IEEE Green Technol. Conf.","21665478 (ISSN); 9781728150178 (ISBN); 9798331520182 (ISBN); 9781728114576 (ISBN); 9780769549668 (ISBN); 9781728191393 (ISBN); 9798350308587 (ISBN); 9781665467681 (ISBN); 9781665492874 (ISBN); 9781479939336 (ISBN); 9781479988846 (ISBN)","","10.1109/GreenTech58819.2024.10520535","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193534996&doi=10.1109%2FGreenTech58819.2024.10520535&partnerID=40&md5=730ef27b5fc5bf626939fe610035f016","2024","2026-03-20 01:23:07","2026-03-20 01:23:07","","155-156","","","","","","","","","","","IEEE Computer Society","","English","","","Scopus","","","","","#done; #faults-reliability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IEEE Green Technologies Conference","","","","","","","","","","","","","","",""
"M4QNY6IT","conferencePaper","2024","Bhaila, Karuna; Wu, Xintao","Cascading Failure Prediction in Power Grid Using Node and Edge Attributed Graph Neural Networks","2024 International Joint Conference on Neural Networks (IJCNN)","","2161-4407","10.1109/IJCNN60899.2024.10650986","https://ieeexplore.ieee.org/document/10650986/?arnumber=10650986","2024-06","2026-03-20 01:23:07","2026-03-20 01:23:07","2024-10-28 13:53:14","1-7","","","","","","","","","","","","","","","","","","IEEE Xplore","","","#done; #faults-reliability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2024 International Joint Conference on Neural Networks (IJCNN)","","","","","","","","","","","","","","",""
"JJ3VQ9UM","journalArticle","2025","Bhala Priya, S.; Jaganathan, S.; Sivaprakash, P.","IoT-Enhanced Smart Grid Demand Side Management in Photovoltaic Systems Using Hybrid Approach","IETE Journal of Research","","0974780X (ISSN); 03772063 (ISSN)","10.1080/03772063.2025.2505108","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009481319&doi=10.1080%2F03772063.2025.2505108&partnerID=40&md5=21863f1d225fe6812cf75e14abf6af80","2025","2026-03-20 01:23:07","2026-03-20 01:23:07","","3210-3222","","9","71","","IETE J Res","","","","","","Taylor and Francis Ltd.","","English","","","Scopus","","","","","#done; #optimization-control","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6BTD25VR","conferencePaper","2025","Bhattacharya, S.; Amaya, C.; Martinez, D.; Eichlseder, M.; Duchon, M.; Schwefel, H.-P.","Spatial Correlation and Graph Neural Networks for Earth Fault Localisation on Energy Grids","IEEE PES Innovative. Smart Grid Technol. Conf. Europe","21654816 (ISSN); 979-833152503-3 (ISBN)","","10.1109/ISGTEurope64741.2025.11305357","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105032524490&doi=10.1109%2FISGTEurope64741.2025.11305357&partnerID=40&md5=011c94402d5b0fc7d4c28dd10b8f945b","2025","2026-03-20 01:23:07","2026-03-20 01:23:07","","","","","","","","","","","","","IEEE Computer Society","","English","","","Scopus","","","","","#done; #faults-reliability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IEEE PES Innovative Smart Grid Technologies Conference Europe","","","","","","","","","","","","","","",""
"LWD8Z388","journalArticle","2024","Bohara, B.; Krishnamoorthy, H.","Deep Learning-Based Framework for Power Converter Circuit Identification and Analysis","IEEE Access","","21693536 (ISSN)","10.1109/ACCESS.2024.3444702","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201517916&doi=10.1109%2FACCESS.2024.3444702&partnerID=40&md5=d51be1d72e7d29915fefefcf379b8ca9","2024","2026-03-20 01:23:07","2026-03-20 01:23:07","","115356-115369","","","12","","IEEE Access","","","","","","Institute of Electrical and Electronics Engineers Inc.","","English","","","Scopus","","","","","#done; #grid-analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y227D54L","conferencePaper","2019","Bolz, V.; Rueb, J.; Zell, A.","Power flow approximation based on graph convolutional networks","Proc. - IEEE Int. Conf. Mach. Learn. Appl., ICMLA","978-172814549-5 (ISBN)","","10.1109/ICMLA.2019.00274","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080919676&doi=10.1109%2FICMLA.2019.00274&partnerID=40&md5=b38ecc5e4ac3e80eb90d44217d23fe5c","2019","2026-03-20 01:23:07","2026-03-20 01:23:07","","1679-1686","","","","","","","","","","","Institute of Electrical and Electronics Engineers Inc.","","English","","","Scopus","","","","","#done; #grid-analysis","","Wani M.A.; Khoshgoftaar T.M.; Wang D.; Wang H.; Seliya N.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Proceedings - 18th IEEE International Conference on Machine Learning and Applications, ICMLA 2019","","","","","","","","","","","","","","",""
"V6YU79C2","conferencePaper","2023","Bolz, V.; Rueß, J.; Zell, A.","Data-Driven Graph Convolutional Neural Networks for Power System Contingency Analysis","ICASSP IEEE Int Conf Acoust Speech Signal Process Proc","15206149 (ISSN); 978-172816327-7 (ISBN)","","10.1109/ICASSP49357.2023.10094619","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177570923&doi=10.1109%2FICASSP49357.2023.10094619&partnerID=40&md5=75947499a5737e4834632347e45a6c7e","2023","2026-03-20 01:23:07","2026-03-20 01:23:07","","","","","2023-June","","","","","","","","Institute of Electrical and Electronics Engineers Inc.","","English","","","Scopus","","","","","#done; #faults-reliability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ICASSP, IEEE International Conference on Acoustics, Speech and Signal Processing - Proceedings","","","","","","","","","","","","","","",""
